record_id,title,abstract,authors,year,journal,doi,url,publication_type,keywords,inclusion,rationale,evidence,exclusion_reason,overall_confidence,needs_human_review,source_record_id,apparent_duplicate
RIS_0042,"Kids, College, and Capital: Parental Financial Support and College Choice","Parents vary in both their willingness and ability to pay for their children’s college expenses, yet there is little research on how adolescents’ expectations of future financial support from parents affect their college enrollment decisions. Using data from the High School Longitudinal Study, I fill this gap in the literature by examining the predictors of parents’ plans to pay for college and estimating the effect of having a parent that plans to pay for college on an adolescent’s probability of college attendance. The results suggest that after parents’ ability to pay is taken into account, social class remains a strong predictor of whether parents plan to pay for their children’s college education. Additionally, parent’s plans to pay for college have a measurable impact on children’s college enrollment as long as the child is aware of or agrees with the parent’s plans. Therefore, it is likely that socioeconomic differences in parents’ pledges of financial support to adolescents contribute to postsecondary stratification. The results from this study suggest that policymakers and researchers who are concerned about educational inequality should pay greater attention to the role of parental financial support in structuring children’s ability to access college.","Flaster, Allyson",2018,Research in Higher Education,https://doi.org/10.1007/s11162-018-9496-0,https://www.proquest.com/docview/2010933888?accountid=9902&bdid=150313&_bd=4cNoLF2IsU1OxZm88spPv%2F7HHrU%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0043,Forging a Path to College Persistence: An Experimental Evaluation of the Detroit Promise Path Program,"Detroit students who obtain a college degree overcome many obstacles to do so. This article reports the results of a randomized evaluation of a program meant to provide support to low-income community college students. The Detroit Promise Path program was designed to complement an existing College Promise scholarship, providing students with coaching, summer engagement, and financial incentives. The evaluation found that students offered the program enrolled in more semesters and earned more credits compared with those offered the scholarship alone. However, at the 3-year mark, there were no discernable impacts on degrees earned. This article examines systemic barriers to degree completion and offers lessons for the design of interventions to increase equity in postsecondary attainment.","Brockman, Stacey L; Camo-Biogradlija Jasmina; Ratledge Alyssa; O’Donoghue Rebekah; Baum, Micah Y; Jacob, Brian",2025,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/01623737241230474,https://www.proquest.com/docview/3204639508?accountid=9902&bdid=150313&_bd=Hc4aXLOZSSzbS1uB%2B7IT7tJG%2Fug%3D,JOUR,,Yes,"Title/abstract indicate eligible HE students, direct financial support, eligible student outcomes, and a credible counterfactual design.",support: mentions scholarship; outcome: mentions persistence; design: mentions randomized,,90,No,,No
RIS_0044,Interventions for Postsecondary Success for Low-Income and High-Potential Students: A Systematic Review,"Research indicates that high-potential students from low-income backgrounds have decreased educational attainment and success in college compared with their higher income peers. The purpose of this review is to synthesize the interventions that support postsecondary success for this group. Using a systematic review protocol, we identified five categories of support for these students: a summer intervention, advanced coursework, financial aid, college information, and a program that provides year-round supports. Findings suggest these programs differentially help certain groups, but can provide support in accessing college, persisting and attaining degrees, and helping with noncognitive supports such as peer support.","Renbarger, Rachel; Long, Kody",2019,Journal of Advanced Academics,https://doi.org/10.1177/1932202X19828744,https://www.proquest.com/docview/2205318722?accountid=9902&bdid=150313&_bd=Dg%2BSa5hqGhmWI%2Fs2wiCT9YD6eRk%3D,JOUR,,No,Review article rather than an eligible primary impact study.,The abstract describes a review of existing literature.,Ineligible study design,95,No,,No
RIS_0045,"Performance-Based Aid, Enhanced Advising, and the Income Gap in College Graduation: Evidence From a Randomized Controlled Trial","Income gaps in college enrollment, persistence, and graduation raise concerns for those interested in equal opportunity in higher education. We present findings from a randomly assigned scholarship for low-income students at a medium-sized public 4-year university. The program focused solely on the first four semesters of enrollment and tied aid disbursements to modest academic benchmarks and enhanced academic advising. Meaningful decreases in time to degree appear to be driven by students with the lowest academic preparation and family income. Treated students took out approximately 20% less in student loans during the duration of the program. Participants also indicated high satisfaction with the program’s model of enhanced academic advising.","Erwin, Christopher; Binder, Melissa; Miller, Cynthia; Krause, Kate",2021,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/0162373720979180,https://www.proquest.com/docview/2481033270?accountid=9902&bdid=150313&_bd=TVPp%2BVGrWi6DvyjULp9gaquqmoo%3D,JOUR,,Uncertain,"Potentially eligible financial-support impact study, but population or post-entry eligibility is not fully clear from the abstract.",support: mentions scholarship; outcome: mentions persistence; design: mentions randomized,Unclear population or timing,68,Yes,,No
RIS_0046,Studying abroad experience and the wages of females,"Studying abroad acts as investment in human capital and ideally outweighs associated investment costs due to higher earnings or related non-monetary benefits. We estimate monetary returns to studying abroad for female graduates 1 and 5 years after graduation. The empirical estimates—based on panel data from four graduate cohorts in 1997, 2001, 2005, and 2009—confirm positive returns to studying abroad. Mobile females earn 3.2% higher wages compared to non-mobiles at labor market entry. These initial wage gains tend to improve further over time, resulting in about 4.0% higher earnings for mobile females 5 years after graduation. Detailed consideration of different socio-economic groups reveals that female graduates from non-academic backgrounds and females majoring in social sciences benefit most. Studying abroad, therefore, has positive effects on later income of female graduates.","Asankulova, Zhanylai; Thomsen, Stephan",2024,Higher Education,https://doi.org/10.1007/s10734-023-01013-z,https://www.proquest.com/docview/2929320147?accountid=9902&bdid=150313&_bd=WXZVaVuIvNseD7LPbbdQztdlv%2FQ%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0047,The Impact of Merit Aid on College Choice and Degree Attainment: Reexamining Florida’s Bright Futures Program,"We replicate and extend prior work on Florida’s Bright Futures merit aid scholarship to consider its effect on college enrollment and degree completion. We estimate causal impacts using a regression discontinuity design to exploit SAT thresholds that strongly determine eligibility. We find no positive impacts on attendance or attainment, and instrumental variable results generally reject estimates as small as 1 to 2 percentage points. Across subgroups, we find that eligibility slightly reduces 6-year associate degree attainment for lower socioeconomic status students and may induce small enrollment shifts among Hispanic and White students toward 4-year colleges. Our findings of these minimal-at-best impacts contrast those of prior works, attributable in part to methodological improvements and more robust data, and further underscore the importance of study replication.","Gurantz Oded; Odle, Taylor K",2022,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/01623737211030489,https://www.proquest.com/docview/2625220881?accountid=9902&bdid=150313&_bd=4NuSfmuR%2FwfnzOOzmZVLh7YChDI%3D,JOUR,,Uncertain,"Potentially eligible financial-support impact study, but population or post-entry eligibility is not fully clear from the abstract.",support: mentions scholarship; outcome: mentions attendance; design: mentions regression discontinuity,Unclear population or timing,68,Yes,,No
RIS_0048,Can student evaluations be made more representative? Testing alternative strategies,"Student evaluations are regularly used to assess the quality of faculty teaching. However, low response rates and unrepresentative student samples can bias the conclusions drawn from them. We conduct a randomized experiment at a selective liberal arts college in the United States to test whether student evaluations can be made more representative of the broader student population through changes to the prompt or timing at which feedback is solicited. We find that Pell Grant recipients, students with low GPAs, and those later in their college careers are less likely to complete teaching evaluations and to write more than three words in response to qualitative questions evaluating the instructor across all study conditions. Black, Hispanic, and multi-racial students are less likely than white students to complete traditional evaluations solicited at the end-of-semester. Providing an alternate prompt, which asks students to articulate their own criteria for effective teaching, increases the likelihood that students write more than three words and increases the total words written, conditional on responding. Delaying the solicitation of feedback until the following semester decreases overall response rates, particularly for seniors, but does so to a lesser degree for Black, Hispanic, and multi-racial students than white students, resulting in a more racially representative sample overall. This suggests a potential tradeoff between overall response rates and the representation of minority student voices in providing student feedback on teaching.","De Bruin, Erica; Owen, Ann L; Wu, Stephen",2026,Studies in Higher Education,https://doi.org/10.1080/03075079.2025.2467424,https://www.proquest.com/docview/3300223403?accountid=9902&bdid=150313&_bd=RFLda311f%2FxFWZemVeP%2BnxzZ8yA%3D,JOUR,,No,Aid status is used as a student characteristic rather than the evaluated intervention.,The title or abstract mentions Pell recipients or Pell Grant students but does not evaluate the aid as the intervention.,No eligible financial support intervention,84,No,,No
RIS_0049,Expanding Student Success: The Impact of a Comprehensive College Transition Program on Psychosocial Outcomes,"This study examines the impact of a comprehensive college transition program, the Thompson Scholars Learning Communities (TSLC), on psychosocial outcomes using an experimental design. We estimate overall and heterogenous effects of program participation on students’ sense of belonging to campus, feelings of mattering to campus, sense of academic self-efficacy, and sense of social self-efficacy. Participation in TSLC, as compared to receiving a substantial college scholarship without comprehensive support, leads to large increases in both mattering and sense of belonging to campus during students’ two years in the program. We find no impact of TSLC participation on students’ academic or social self-efficacy. We demonstrate the program effects on students’ feelings of mattering to campus were largest for traditionally underrepresented student groups; however, we find no evidence of heterogeneous effects on students’ sense of belonging to campus, academic self-efficacy, or social self-efficacy. Our findings suggest that comprehensive college transition programs can promote students’ psychosocial outcomes.","Melguizo, Tatiana; Martorell, Paco; Swanson, Elise; Chi, W Edward; Park, Elizabeth; Kezar, Adrianna",2021,Journal of Research on Educational Effectiveness,https://doi.org/10.1080/19345747.2021.1917029,https://www.proquest.com/docview/2820844530?accountid=9902&bdid=150313&_bd=DNjS6FZMy%2BT%2Bw7Mj4g9UF2xNodw%3D,JOUR,,Uncertain,"Potentially eligible support and outcome, but the title/abstract does not clearly establish a credible comparison design.",support: mentions scholarship; outcome: mentions belonging,Unclear study design/counterfactual,62,Yes,,No
RIS_0050,The Next Generation Scientist program: capacity-building for future scientific leaders in low- and middle-income countries,"Background Scientific and professional development opportunities for early career scientists in low- and middle- income countries (LMICs) are limited and not consistent. There is a disproportionately low number of biomedical and clinical researchers in LMIC’s relative to their high burden of disease, a disparity that is aggravated by emigration of up to 70% of scientists from their countries of birth for education and employment elsewhere. To help address this need, a novel University-accredited, immersive fellowship program was established by a large public-academic-private network. We sought to describe the program and summarize progress and lessons learned over its first 7-years.Methods Hallmarks of the program are a structured learning curriculum and bespoke research activities tailored to the needs of each fellow. Research projects expose the scientists to state-of-the-art methodologies and leading experts in their fields while also ensuring that learnings are implementable within their home infrastructure. Fellows run seminars on drug discovery and development that reinforce themes of scientific leadership and teamwork together with practical modules on addressing healthcare challenges within their local systems. Industry mentors achieve mutual learning to better understand healthcare needs in traditionally underserved settings. We evaluated the impact of the program through an online survey of participants and by assessing research output.Results More than 140 scientists and clinicians from 25 countries participated over the 7-year period. Evaluation revealed strong evidence of knowledge and skills transfer, and beneficial self-reported impact on fellow’s research output and career trajectories. Examples of program impact included completion of post-graduate qualifications; establishment and implementation of good laboratory- and clinical- practice mechanisms; and becoming lead investigators in local programs. There was a high retention of fellows in their home countries (> 75%) and an enduring professional network among the fellows and their mentors.Conclusions Our experience demonstrates an example for how multi-sectoral partners can contribute to scientific and professional development of researchers in LMICs and supports the idea that capacity-building efforts should be tailored to the specific needs of beneficiaries to be maximally effective. Lessons learned may be applied to the design and conduct of other programs to strengthen science ecosystems in LMICs.","Pillai, Goonaseelan; Chibale, Kelly; Constable, Edwin C; Keller, Akiko N; Gutierrez, Marcelo M; Mirza, Fareed; Sengstag, Christian; Masimirembwa, Collen; Denti, Paolo; Maartens, Gary; Ramsay, Michèle; Ogutu, Bernhards; Eyasu Makonnen; Gordon, Richard; Carlos Gil Ferreira; Goldbaum, Fernando Alberto",2018,BMC Medical Education,https://doi.org/10.1186/s12909-018-1331-y,https://www.proquest.com/docview/2122806008?accountid=9902&bdid=150313&_bd=X5%2BKAxJU%2FExgS4PBp%2FVYMkocKow%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0051,Unmet Need: Evaluating Pell as a Lever for Equitable Dual Enrollment Participation and Outcomes,"Dual enrollment is an increasingly popular avenue for high school students to earn college credit. However, low-income students are underrepresented among dual enrollment participants. In this study, we use a difference-in-differences design to evaluate a unique federal pilot program that allowed high school students to access Pell Grants to fund their dual enrollment. Generally, we find a negative effect of the pilot program on dual enrollment participation, with no effect on subsequent college attendance. Our qualitative analysis suggests this initiative did not sufficiently meet students’ specific needs, required strong partnerships with high schools to ensure high school counselors informed students about the program, and involved substantial financial and administrative burden for participating institutions.","Bettinger, Eric P; Lu, Amanda; Matheny, Kaylee T; Kienzl, Gregory S",2022,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/01623737221091574,https://www.proquest.com/docview/2735622411?accountid=9902&bdid=150313&_bd=uHfrs32hA1ueqYa2uv84IgMrcNM%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0052,Equalization or Selection? Reassessing the “Meritocratic Power” of a College Degree in Intergenerational Income Mobility,"Intergenerational mobility is higher among college graduates than among people with lower levels of education. In light of this finding, researchers have characterized a college degree as a great equalizer leveling the playing field, and proposed that expanding higher education would promote mobility. This line of reasoning rests on the implicit assumption that the relatively high mobility observed among college graduates reflects a causal effect of college completion on intergenerational mobility, an assumption that has rarely been rigorously evaluated. This article bridges this gap. Using a novel reweighting technique, I estimate the degree of intergenerational income mobility among college graduates purged of selection processes that may drive up observed mobility in this subpopulation. Analyzing data from the National Longitudinal Survey of Youth 1979, I find that once selection processes are adjusted for, intergenerational income mobility among college graduates is very close to that among non-graduates. This finding suggests that expanding the pool of college graduates per se is unlikely to boost intergenerational income mobility in the United States. To promote mobility, public investments in higher education (e.g., federal and state student aid programs) should be targeted at low-income youth.","Zhou, Xiang",2019,American Sociological Review,https://doi.org/10.1177/0003122419844992,https://www.proquest.com/docview/2231368180?accountid=9902&bdid=150313&_bd=jhXgFp%2BbSUQYJhqgRHVzI427A9Q%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0053,Investigating the effects of access initiatives for underrepresented groups,"Efforts to increase access for and participation of groups that are underrepresented in postsecondary education (PSE) have included encouraging members of underrepresented groups to apply to PSE programmes, revising admission requirements to reduce barriers to attendance, providing assistance in completing applications for admission, and providing financial assistance. Such initiatives address different assumed causes of underrepresentation, but these assumptions are often not explicit. Drawing from programme evaluation, we describe and illustrate the use of change models to make explicit each access initiative's assumptions about barriers to participation, thus providing the basis for evaluation of the initiatives. The evaluation of an access initiative involving a change in admission requirements for an initial teacher education programme is discussed as an illustration of this approach.","Childs, Ruth A; Hanson, Mark D; Carnegie-Douglas, Sandra; Archbold, Alexis",2017,Perspectives : Policy and Practice in Higher Education,https://doi.org/10.1080/13603108.2016.1231720,https://www.proquest.com/docview/1900988851?accountid=9902&bdid=150313&_bd=54k0DXTzX2%2BVCMwRAbhnO0KLtdo%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0054,"Does Dual Enrollment Influence High School Graduation, College Enrollment, Choice, and Persistence?","This study examines relationships between dual enrollment and high school graduation, college enrollment, college choice (2-year or 4-year), and persistence in college among Nebraska’s 2018 high school graduating class. Unlike previous studies that focus on states where dual enrollment is standardized and subsidized by state policy, the Nebraska context offers an opportunity to study potentially heterogeneous effects of dual enrollment where implementation is devolved to the local level. Using propensity score matching, we find that taking at least one dual enrollment course was positively associated with graduating from high school, going to college, choosing a 4-year college over a 2-year college, and re-enrolling in college in the second year. More importantly, the positive association was greater for racial minority students, first-generation students, and low-income students. Our findings suggest that dual enrollment may help close achievement gaps for historically underrepresented students. We provide policy implications on how states can use dual enrollment to improve higher education access and success.","Lee, Jungmin; Fernandez, Frank; Ro, Hyun Kyoung; Suh, Hongwook",2022,Research in Higher Education,https://doi.org/10.1007/s11162-021-09667-3,https://www.proquest.com/docview/2690362186?accountid=9902&bdid=150313&_bd=z3YUpdJyDQS5wz5Sj%2Fh2DIA2lgM%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0055,The Effects of the Louisiana Scholarship Program on Student Achievement and College Entrance,"The Louisiana Scholarship Program (LSP) offers publicly funded vouchers to moderate- and low-income students in low-performing public schools to enroll in participating private schools. Established in 2008 as a pilot program in New Orleans, the LSP expanded statewide in 2012. Drawing upon the random lotteries that placed students in LSP schools, we estimate the causal impact of using an LSP voucher to enroll in a private school on student achievement on the state accountability assessments in math, English Language Arts, and science over a four-year period, as well as on the likelihood of enrolling in college. The results from our primary analytic sample indicate substantial negative achievement impacts, especially in math, that diminish after the first year but persist after four years. In contrast, when considering the likelihood of students entering college, we observe no statistically significant difference between scholarship users and their control counterparts.","Erickson, Heidi H; Mills, Jonathan N; Wolf, Patrick J",2021,Journal of Research on Educational Effectiveness,https://doi.org/10.1080/19345747.2021.1938311,https://www.proquest.com/docview/2820844973?accountid=9902&bdid=150313&_bd=p44ld5BnZ2Hx8SroqhnfLBqisgY%3D,JOUR,,Uncertain,"Potentially eligible financial-support impact study, but population or post-entry eligibility is not fully clear from the abstract.",support: mentions scholarship; outcome: mentions persist; design: mentions causal,Unclear population or timing,68,Yes,,No
RIS_0056,Reducing the constraints to school access and progress: assessing the effects of a scholarship program in rural Malawi,"PurposeThe study aims to provide insight on the potential effectiveness of demand-side financing for catalyzing improved educational outcomes in Malawi; and, given the extent of cost-related constraints to school contexts in other low-income countries, the results have relevance for education policy decisions more broadly.Design/methodology/approachThis study utilizes a non-equivalent groups research design to compare the educational experiences and outcomes of two student groups – those who did and those who did not receive a needs-based scholarship to attend secondary school and college in the Dowa, Kasungu, and Lilongwe Districts of Malawi. The authors assess impacts across a range of short and medium-term outcomes, including: school attendance, withdrawal, attainment, graduation, employment status, employment quality, and post-schooling income.FindingsThe scholarship substantially reduces the household cost of participation in school, and reduces the distance travelled to school. As a result, scholarship recipients attain between 1 and 1.5 years of additional schooling and graduate at higher rates. In terms of post-schooling outcomes, recipients are in higher wage-earning occupations after leaving school. Overall, results suggest that scholarships are an effective demand-side strategy for improving educational attainment, progression, and potentially longer-term labor market outcomes.Originality/valueThe study adds new evidence on policy approaches for expanding access to educational opportunities and increasing labor market outcomes in a context (Malawi specifically and sub-Saharan Africa more broadly) where evidence on such demand-side interventions is still growing.","Hunsaker, Stephen; Baum, Donald R; Ducos, Katy",2022,International Journal of Comparative Education and Development,https://doi.org/10.1108/IJCED-10-2021-0106,https://www.proquest.com/docview/2775899448?accountid=9902&bdid=150313&_bd=cMt6p4aXF56ondj4PjnMsB28QG8%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0057,Choosing College in the 2000s: An Updated Analysis Using the Conditional Logistic Choice Model,"In this paper I investigate the college enrollment decisions of a nationally representative cohort of students who first attended in the mid-2000s. I find that while cost, distance, and match continued to be important in the choice between colleges, characteristics of the most-likely college choice appear less important in the choice of whether to enroll at all when controlling for student characteristics and local labor market conditions. Subpopulation analyses on students with high SAT scores and students with low family income, two groups that remain the focus of many financial aid policies, indicate some differences in the way these particular students chose college. Extending prior work by modeling discrete steps in the enrollment decision process—application and enrollment conditional on application—I find choice characteristics were most significant in the application stage. These results support other research that shows students may self-select out of potentially better college matches due to lack of information about actual costs or limited geographic opportunity.","Skinner, Benjamin T",2019,Research in Higher Education,https://doi.org/10.1007/s11162-018-9507-1,https://www.proquest.com/docview/2036585319?accountid=9902&bdid=150313&_bd=greCt9LZAB6fW9wRtlKb2dLFv3U%3D,JOUR,,No,Financial support is evaluated only for pre-entry access or enrolment outcomes.,"The abstract focuses on applications, admissions, enrolment, or college choice rather than post-entry outcomes.",Ineligible timing/outcome,84,No,,No
RIS_0058,Do grants improve the outcomes of university students in a challenging context? Evidence from a matching approach,"In this work, we investigate whether grants improve the academic outcomes of students from socio-economically disadvantaged families and thereby reduce inequalities of educational opportunities. We focus on Italy, which is characterized by high dropout rates, prolonged duration of higher education studies and considerable social inequalities in educational outcomes. To estimate the effect of grants, we follow a counterfactual approach, relying on a reweighting matching procedure. First, we apply coarsened exact matching to identify the region of common support. Second, we weight the observation using the entropy balancing method. We use a nationally representative survey, which collects data on students who graduated from upper secondary school in 2004 and 2007. We find that grants reduce dropout and increase timely graduation, with larger effects among males and students in Central-Southern Italy, who are more at risk of withdrawal from university.","Facchini, Marta; Triventi Moris; Vergolini Loris",2021,Higher Education,https://doi.org/10.1007/s10734-020-00586-3,https://www.proquest.com/docview/2520050908?accountid=9902&bdid=150313&_bd=mKq2eITGSFD0tkRJjVcZ9dvcbQ8%3D,JOUR,,Yes,"Title/abstract indicate eligible HE students, direct financial support, eligible student outcomes, and a credible counterfactual design.",support: mentions grants; outcome: mentions graduation; design: mentions matching,,90,No,,No
RIS_0059,Do Community College “Promise” Programs With Low-Bar Merit Criteria Improve High School Performance?,"Objective/Research Question: Community college “Promise” programs have proliferated recently, particularly in areas with many low-income, academically struggling students. Many Promise programs restrict eligibility by high school performance but set eligibility thresholds quite low. As such they function as “low-bar” merit scholarships, and merit scholarships are often believed to incentivize improved academic performance. But do such “low-bar” merit scholarships boost high school attendance and grades? Methods: We investigate impacts of one such program, the Milwaukee Area Technical College Promise, on high school students in Milwaukee Public Schools, exploiting program design features to identify treatment effects through a differences-in-differences strategy. Results: The program appears to have marginally improved high school grades while slightly lowering attendance. These effects cancel each other out in terms of meeting combined GPA and attendance eligibility thresholds. Estimated positive impacts on GPA were statistically significant but very small for males, Black students, free lunch eligible students, special education students and current English language learners, while impacts on attendance were negative for most subgroups. The positive GPA effect was restricted to the program’s second year. Conclusions: We do not find strong evidence that low-bar scholarships are effective at improving academic performance. Policymakers should reconsider conventional wisdom underlying inclusion of merit criteria in broad-based scholarships.","Monaghan, David B; Coca, Vanessa M",2023,Community College Review,https://doi.org/10.1177/00915521231181941,https://www.proquest.com/docview/2858603264?accountid=9902&bdid=150313&_bd=sWHIwqyTvZTPkxhUuMefMQD8UN0%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0060,"Pledging to Do “Good”: An Early Commitment Pledge Program, College Scholarships, and High School Outcomes in Washington State","Indiana, Oklahoma, and Washington each have programs designed to address college enrollment gaps by offering a promise of state-based college financial aid to low-income middle school students in exchange for making a pledge to do well in high school, be a good citizen, not be convicted of a felony, and apply for financial aid to college. Using a triple-difference specification, we estimate the effects of Washington’s College Bound Scholarship program on students’ high school grades, high school graduation, juvenile detention and rehabilitation, and incarceration in state prison during high school or early adulthood. We find insignificant and substantively small or negative effects on these outcomes. These results call into question the rationale for such early commitment programs.","Goldhaber, Dan; Long, Mark C; Gratz, Trevor; Jordan, Rooklyn",2020,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/0162373719889051,https://www.proquest.com/docview/2362914626?accountid=9902&bdid=150313&_bd=06usSg9af1uh5MebNLkjaddkJZc%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0061,“Not doing it justice”: Perspectives of Recent Family Medicine Graduates on Mental Health and Addictions Training in Residency,"OBJECTIVESFamily physicians report feeling inadequately prepared to meet the evolving mental health care needs of the population. Little scholarship exists evaluating the effectiveness of curricula designed to teach mental health and addiction (MH&A) care to family medicine (FM) residents. As such, the purpose of this study was to explore the experiences of recent FM residency graduates in providing mental health care, and their perceptions of mental health training gaps during their residencies.METHODSA qualitative descriptive study design was conducted by 8 recent graduates of the University of Toronto's FM residency program, who participated in semi-structured video interviews. A thematic analysis approach was used to collect and analyze the data.RESULTSThrough thematic analysis, 3 overarching themes were developed: (1) barriers in providing mental health and addiction care, (2) curriculum renewal, and (3) the role of FPs and professional identity. Consistent with the literature, the majority of recent FM graduates expressed discomfort when managing patients with mental health and addiction concerns. Additionally, participants perceived residency program time constraints, rotational site differences, and limited exposure to marginalized populations all impacted learning and mastery of skills.CONCLUSIONThe findings of this study underscore current gaps within the FM residency curriculum and highlight the need to address current curricular deficits.","Ramdawar, Abigail; Bozinoff, Nikki; Lazare, Kimberly",2024,Journal of Medical Education and Curricular Development,https://doi.org/10.1177/23821205241238642,https://www.proquest.com/docview/3149772226?accountid=9902&bdid=150313&_bd=ZPv2EcRk4zYFmW4Zp%2FHPDibuBpQ%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
RIS_0062,A Fad or the New Norm for Student Access Today? Evaluating Enrollment Outcomes of Holistic Admissions in South Korea,"The worldwide adoption of holistic admissions in higher education is a recent phenomenon, inspired by elements originally present in the U.S. system. While holistic admissions have been rooted in the Korean higher education system since its adoption, now it is also faced with burgeoning debates over their fairness and impact on student access. This study, therefore, examines the effect of holistic admissions on the enrollment patterns of students from diverse backgrounds. Using data obtained from the Higher Education Statistics Survey, and employing heterogeneity-robust difference-in-differences estimation strategies, this study examines whether the introduction of this new admissions program effectively promoted student access. The results illustrate that the adoption of holistic admissions has dynamic treatment effects that vary based on the timeline relative to adoption and government subsidy status. Subsidized adopters show a statistically significant increase in all outcomes a few years post-policy adoption, while unsubsidized adopters demonstrate a more delayed effect. Moreover, although holistic admissions increased the share of disadvantaged students, it resulted in a higher surge in international student enrollment. The results from this study reflected that the consistent implementation of holistic admissions over a sustained period can bring about intended outcomes from the institutions adopting holistic admissions.","Kim, Heeyun",2024,Research in Higher Education,https://doi.org/10.1007/s11162-024-09776-9,https://www.proquest.com/docview/3093310610?accountid=9902&bdid=150313&_bd=aQyVJ7jPZEC9nV3P0GqXixXy6A4%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0063,"The Impact of a Promise: A Loan Replacement Grant, Low-Income Students, and College Graduation","This study examines the impact of Illinois Promise, a loan replacement grant for low-income students, on college graduation within five years. A quasi-experimental design using propensity score matching is employed for first-time, full-time students enrolled as freshman from fall, 2007 through fall, 2009. Eligibility criteria are used to construct the comparison group of one-to-one matches for a total of 414 students. Results show the odds ratio of graduating within five years is 2.4 times more likely for I-Promise students in relation to the low-income comparison group. Policy and practice implications are discussed.","Gershenfeld, Susan; Zhan, Min; Hood, Denice Ward",2019,Review of Higher Education,https://doi.org/10.1353/rhe.2019.0030,https://www.proquest.com/docview/2461121876?accountid=9902&bdid=150319&_bd=i1QHcNMYB8We7%2F3L1Be0M9KNOQI%3D,JOUR,,Uncertain,"Potentially eligible financial-support impact study, but population or post-entry eligibility is not fully clear from the abstract.",support: mentions grant; outcome: mentions graduation; design: mentions propensity score,Unclear population or timing,68,Yes,,No
RIS_0064,Working for College: The Causal Impacts of Financial Grants on Undergraduate Employment,"One way in which financial aid is thought to promote college success is by minimizing the time students spend working. Yet, little research has examined if this intended first-order effect occurs, and results are mixed. We leverage a randomized experiment and find that students from low-income families in Wisconsin offered additional grant aid were 5.88 percentage points less likely to work and worked 1.69 fewer hours per week than similar peers, an 8.56% and 14.35% reduction, respectively. Students offered the grant also improved qualitative aspects of their work experiences; they were less likely to work extensively, during the morning hours, or overnight. Grant aid thus appears to partially offset student employment, possibly improving prospects for academic achievement and attainment.","Broton, Katharine M.; Goldrick-Rab, Sara; Benson, James",2016,Educational Evaluation and Policy Analysis,https://doi.org/10.3102/0162373716638440,https://www.proquest.com/docview/1826544354?accountid=9902&bdid=150319&_bd=okLFgWoccjtPV6Yw5EgmizCmR4M%3D,JOUR,,Yes,"Title/abstract indicate eligible HE students, direct financial support, eligible student outcomes, and a credible counterfactual design.",support: mentions grants; outcome: mentions employment; design: mentions randomized,,90,No,,No
